Name,Email,Country,Hours_Studied,Marks,Attendance_%,Assignments_Score,Final_Grade
Student_141,student141@example.com,Germany,7.7,52.96,98.79,57.87,C
Student_142,student142@example.com,USA,5.27,32.63,54.06,94.11,D
Student_143,student143@example.com,Japan,6.12,31.75,58.57,53.41,D
Student_144,student144@example.com,India,3.64,64.68,75.31,64.67,B
Student_145,student145@example.com,Brazil,3.53,59.19,62.32,82.74,B
Student_146,student146@example.com,Japan,9.58,34.04,81.67,97.41,A
Student_147,student147@example.com,USA,2.39,69.66,84.74,59.86,A
Student_148,student148@example.com,Australia,4.97,30.54,72.95,78.24,C
Student_149,student149@example.com,Germany,4.42,65.97,79.63,45.6,C
Student_150,student150@example.com,USA,5.42,99.32,90.62,77.94,B
Student_151,student151@example.com,Australia,8.06,72.5,75.65,55.6,B
Student_152,student152@example.com,USA,3.6,35.89,66.74,70.08,C
Student_153,student153@example.com,UK,9.35,68.72,99.18,43.83,C
Student_154,student154@example.com,India,4.03,99.19,81.82,74.85,B
Student_155,student155@example.com,Brazil,5.08,56.25,92.72,82.46,D
Student_156,student156@example.com,USA,5.57,89.88,80.44,98.84,A
Student_157,student157@example.com,USA,9.18,84.16,87.14,44.46,A
Student_158,student158@example.com,Germany,8.23,37.38,65.67,64.97,B
Student_159,student159@example.com,UK,3.92,60.92,65.13,42.64,A
Student_160,student160@example.com,Japan,4.59,42.79,69.76,98.69,B
Student_161,student161@example.com,UK,7.82,30.42,58.5,82.69,D
Student_162,student162@example.com,Australia,3.89,35.14,90.45,94.13,D
Student_163,student163@example.com,Canada,3.92,77.03,65.09,72.67,A
Student_164,student164@example.com,Japan,9.56,54.07,66.84,72.41,C
Student_165,student165@example.com,Canada,4.13,99.82,75.67,65.76,A
Student_166,student166@example.com,Brazil,8.67,88.13,80.05,91.94,C
Student_167,student167@example.com,India,1.41,74.17,53.9,91.11,D
Student_168,student168@example.com,Japan,2.62,43.46,57.47,84.48,D
Student_169,student169@example.com,UK,8.38,80.48,89.65,82.15,C
Student_170,student170@example.com,Japan,2.96,57.12,69.27,89.36,C
Student_171,student171@example.com,USA,5.99,76.05,68.04,86.78,B
Student_172,student172@example.com,India,5.72,30.98,73.71,45.34,D
Student_173,student173@example.com,Japan,8.15,87.34,99.7,71.8,B
Student_174,student174@example.com,Brazil,5.28,65.01,78.53,53.59,D
Student_175,student175@example.com,Japan,3.02,72.67,89.99,96.34,D
Student_176,student176@example.com,Australia,4.04,62.63,97.55,96.7,B
Student_177,student177@example.com,Japan,5.72,83.32,70.48,73.84,A
Student_178,student178@example.com,Japan,8.3,46.66,69.69,64.36,A
Student_179,student179@example.com,Australia,3.02,73.66,99.34,58.24,B
Student_180,student180@example.com,Germany,3.26,91.0,88.91,94.51,A
Student_181,student181@example.com,UK,2.91,52.84,86.6,45.15,A
Student_182,student182@example.com,Japan,1.14,67.39,53.31,65.11,B
Student_183,student183@example.com,Japan,9.43,61.96,81.41,62.56,B
Student_184,student184@example.com,Japan,4.23,86.77,79.81,76.6,C
Student_185,student185@example.com,Australia,6.23,76.66,94.33,97.68,D
Student_186,student186@example.com,Australia,4.78,92.05,93.96,47.49,B
Student_187,student187@example.com,USA,7.68,42.77,73.66,42.28,D
Student_188,student188@example.com,Germany,10.0,87.3,77.74,47.81,C
Student_189,student189@example.com,UK,6.58,30.93,76.53,46.19,A
Student_190,student190@example.com,Japan,6.14,98.45,51.04,85.32,C
Student_191,student191@example.com,Brazil,8.16,72.04,86.99,42.94,D
Student_192,student192@example.com,Germany,7.61,69.08,51.04,98.62,C
Student_193,student193@example.com,Germany,7.0,46.6,61.67,92.57,B
Student_194,student194@example.com,USA,6.83,55.74,61.01,50.07,C
Student_195,student195@example.com,UK,5.02,75.37,64.39,75.93,D
Student_196,student196@example.com,India,6.0,38.67,67.91,83.8,D
Student_197,student197@example.com,USA,2.07,38.3,77.61,83.62,C
Student_198,student198@example.com,Japan,7.79,92.72,74.57,64.13,D
Student_199,student199@example.com,Australia,8.62,45.04,78.28,43.2,C
Student_200,student200@example.com,Australia,3.41,78.12,95.2,91.8,D
Student_201,student201@example.com,Japan,7.2,80.09,60.75,81.77,C
Student_202,student202@example.com,UK,4.71,55.62,64.19,63.61,A
Student_203,student203@example.com,Germany,1.14,86.52,52.67,52.04,C
Student_204,student204@example.com,USA,9.32,94.24,92.82,90.43,A
Student_205,student205@example.com,Germany,4.2,59.31,53.33,60.76,D
Student_206,student206@example.com,Australia,3.02,37.15,73.89,94.48,A
Student_207,student207@example.com,Germany,1.44,81.41,86.76,95.13,B
Student_208,student208@example.com,Brazil,4.11,56.88,94.21,51.9,D
Student_209,student209@example.com,India,2.0,47.15,70.23,71.51,C
Student_210,student210@example.com,Canada,6.05,32.62,50.98,95.33,B
Student_211,student211@example.com,India,6.54,31.93,73.27,58.54,D
Student_212,student212@example.com,Japan,7.26,35.95,87.54,50.42,A
Student_213,student213@example.com,Germany,2.82,39.22,71.3,48.11,D
Student_214,student214@example.com,India,3.55,56.19,63.14,86.12,D
Student_215,student215@example.com,Canada,3.03,52.04,94.53,60.68,B
Student_216,student216@example.com,Japan,5.43,79.96,89.37,55.54,C
Student_217,student217@example.com,Australia,6.97,60.1,78.79,44.46,A
Student_218,student218@example.com,Brazil,9.43,60.73,97.81,92.57,A
Student_219,student219@example.com,India,8.21,65.18,74.41,59.32,C
Student_220,student220@example.com,Brazil,6.96,75.2,83.86,50.45,B
Student_221,student221@example.com,Brazil,8.45,93.03,94.5,83.63,B
Student_222,student222@example.com,Australia,8.24,84.01,70.82,91.34,B
Student_223,student223@example.com,India,8.93,82.87,91.92,70.62,B
Student_224,student224@example.com,USA,5.52,68.82,91.17,49.39,C
Student_225,student225@example.com,Germany,4.25,69.71,67.95,65.0,B
Student_226,student226@example.com,Australia,9.47,74.68,89.79,41.81,A
Student_227,student227@example.com,India,9.03,40.94,55.83,85.7,A
Student_228,student228@example.com,Brazil,3.3,65.44,91.3,57.57,B
Student_229,student229@example.com,UK,6.96,88.62,51.93,90.48,D
Student_230,student230@example.com,Brazil,1.94,84.28,75.3,46.53,D
Student_231,student231@example.com,USA,3.39,37.13,63.22,80.98,A
Student_232,student232@example.com,UK,6.94,35.64,75.35,60.08,A
Student_233,student233@example.com,Germany,2.26,47.85,77.34,58.52,C
Student_234,student234@example.com,UK,3.46,77.86,62.41,81.85,A
Student_235,student235@example.com,Brazil,6.81,39.51,63.57,93.54,B
Student_236,student236@example.com,Germany,5.11,93.99,82.82,59.82,D
Student_237,student237@example.com,Japan,2.77,49.01,63.85,55.28,B
Student_238,student238@example.com,Canada,5.06,55.18,78.52,70.37,B
Student_239,student239@example.com,Germany,6.87,64.42,64.06,48.65,D
Student_240,student240@example.com,India,8.76,40.37,69.34,94.6,C
Student_241,student241@example.com,Australia,8.75,30.16,52.62,45.91,B
Student_242,student242@example.com,Germany,2.24,79.84,85.76,91.33,A
Student_243,student243@example.com,Japan,6.79,80.2,80.45,96.83,C
Student_244,student244@example.com,Germany,8.08,41.58,84.5,41.86,C
Student_245,student245@example.com,UK,3.07,64.57,87.16,40.4,C
Student_246,student246@example.com,Australia,8.32,63.49,84.34,46.65,D
Student_247,student247@example.com,USA,6.65,78.98,80.63,44.78,A
Student_248,student248@example.com,Brazil,5.15,59.86,66.64,50.66,C
Student_249,student249@example.com,Brazil,5.12,71.95,84.26,56.04,B
Student_250,student250@example.com,Germany,5.48,33.56,83.15,98.86,B
Student_251,student251@example.com,India,8.27,94.9,99.48,43.69,B
Student_252,student252@example.com,Germany,9.49,47.11,53.83,86.31,D
Student_253,student253@example.com,Japan,9.96,83.13,63.22,43.49,D
Student_254,student254@example.com,Japan,6.2,92.11,89.97,41.17,C
Student_255,student255@example.com,Canada,4.1,87.93,65.75,91.12,C
Student_256,student256@example.com,Australia,7.33,33.9,58.5,70.16,A
Student_257,student257@example.com,India,6.69,89.34,58.04,78.31,B
Student_258,student258@example.com,Japan,5.11,86.01,67.36,98.44,A
Student_259,student259@example.com,UK,6.74,87.99,91.31,40.86,D
Student_260,student260@example.com,Brazil,1.65,58.18,60.78,55.38,B
Student_261,student261@example.com,Brazil,5.0,50.21,87.33,87.72,C
Student_262,student262@example.com,Australia,4.86,46.46,63.27,95.77,D
Student_263,student263@example.com,Germany,9.98,77.74,97.99,77.6,A
Student_264,student264@example.com,Germany,5.96,63.18,53.5,51.7,A
Student_265,student265@example.com,Canada,3.43,99.97,56.99,66.52,C
Student_266,student266@example.com,Canada,2.6,77.53,73.28,78.42,B
Student_267,student267@example.com,India,8.54,69.12,88.51,89.79,A
Student_268,student268@example.com,USA,2.84,92.72,97.02,42.68,D
Student_269,student269@example.com,Japan,3.21,60.5,69.01,76.34,B
Student_270,student270@example.com,India,6.58,50.55,51.08,93.15,C
Student_271,student271@example.com,Germany,1.8,34.08,85.5,77.91,B
Student_272,student272@example.com,Australia,5.0,92.03,57.98,86.53,A
Student_273,student273@example.com,Germany,6.39,73.67,63.76,55.18,C
Student_274,student274@example.com,UK,4.2,39.14,85.45,42.19,C
Student_275,student275@example.com,UK,6.1,86.86,94.08,78.3,A
Student_276,student276@example.com,UK,2.79,71.29,71.51,88.92,C
Student_277,student277@example.com,India,7.32,53.37,65.43,43.1,C
Student_278,student278@example.com,India,9.4,65.3,82.98,43.84,B
Student_279,student279@example.com,Australia,2.27,37.92,66.51,47.58,C
Student_280,student280@example.com,India,4.42,97.51,61.94,94.71,D
Student_281,student281@example.com,Brazil,6.05,81.98,56.49,40.08,B
Student_282,student282@example.com,Japan,9.99,90.54,71.26,54.07,A
Student_283,student283@example.com,India,2.06,40.15,82.15,91.67,D
Student_284,student284@example.com,Germany,4.0,55.08,96.74,40.53,D
Student_285,student285@example.com,Canada,7.84,45.78,58.02,96.61,B
Student_286,student286@example.com,UK,4.54,84.93,50.03,68.48,C
Student_287,student287@example.com,Brazil,8.8,43.9,85.56,51.18,A
Student_288,student288@example.com,Australia,7.41,62.2,85.36,48.3,B
Student_289,student289@example.com,Brazil,4.09,81.73,66.93,74.06,B
Student_290,student290@example.com,Germany,2.79,63.81,97.02,90.35,B
Student_291,student291@example.com,Canada,6.76,98.5,79.61,64.55,A
Student_292,student292@example.com,Japan,6.11,36.13,85.6,59.45,B
Student_293,student293@example.com,Brazil,9.4,92.72,62.22,67.13,B
Student_294,student294@example.com,Brazil,2.18,58.38,59.53,45.45,D
Student_295,student295@example.com,Canada,8.82,53.35,64.04,80.44,D
Student_296,student296@example.com,UK,6.69,88.04,74.94,60.04,C
Student_297,student297@example.com,USA,8.69,59.6,63.31,54.96,B
Student_298,student298@example.com,Canada,8.38,59.84,50.22,86.82,C
Student_299,student299@example.com,Japan,2.51,36.19,90.51,62.43,B
Student_300,student300@example.com,Canada,5.79,92.95,77.13,56.11,B
Student_301,student301@example.com,UK,3.09,95.34,59.96,41.4,B
Student_302,student302@example.com,Australia,5.52,36.53,56.31,98.87,D
Student_303,student303@example.com,India,9.72,74.91,53.55,52.68,C
Student_304,student304@example.com,Germany,7.36,57.13,78.51,80.43,B
Student_305,student305@example.com,USA,9.85,92.04,85.09,52.97,A
Student_306,student306@example.com,Australia,9.54,89.45,80.72,54.48,D
Student_307,student307@example.com,Germany,2.81,88.62,68.02,60.16,A
Student_308,student308@example.com,UK,2.44,62.12,82.06,90.28,A
Student_309,student309@example.com,USA,6.87,59.06,58.73,94.13,D
Student_310,student310@example.com,Australia,8.77,61.64,89.45,74.39,C
Student_311,student311@example.com,Australia,1.92,84.95,74.57,59.51,D
Student_312,student312@example.com,USA,1.03,78.03,57.42,52.71,D
Student_313,student313@example.com,UK,8.22,60.3,91.23,42.61,A
Student_314,student314@example.com,Japan,2.07,74.45,68.23,61.99,D
Student_315,student315@example.com,India,1.72,31.52,54.4,63.01,D
Student_316,student316@example.com,Brazil,6.48,55.69,52.15,64.58,D
Student_317,student317@example.com,Brazil,8.23,42.73,55.74,59.76,A
Student_318,student318@example.com,Canada,6.14,75.4,53.01,42.8,A
Student_319,student319@example.com,India,5.07,56.87,81.94,48.59,B
Student_320,student320@example.com,Germany,1.6,50.99,79.28,61.0,D
Student_321,student321@example.com,UK,2.21,35.47,72.37,96.48,D
Student_322,student322@example.com,USA,8.35,79.38,57.86,97.78,B
Student_323,student323@example.com,Australia,3.54,67.87,93.74,64.89,B
Student_324,student324@example.com,USA,2.29,77.1,69.72,40.05,A
Student_325,student325@example.com,India,5.07,65.96,70.5,90.87,D
Student_326,student326@example.com,Japan,2.21,69.73,74.73,46.6,C
Student_327,student327@example.com,Brazil,3.27,82.58,87.87,56.97,C
Student_328,student328@example.com,Australia,3.04,81.35,90.67,54.93,D
Student_329,student329@example.com,Canada,3.53,31.83,88.22,71.04,A
Student_330,student330@example.com,Canada,3.83,84.39,87.59,62.71,D
Student_331,student331@example.com,Germany,7.13,86.36,66.83,59.3,B
Student_332,student332@example.com,UK,3.12,45.68,79.62,94.42,D
Student_333,student333@example.com,Canada,3.79,67.55,89.63,94.1,D
Student_334,student334@example.com,Brazil,5.27,53.7,62.89,53.83,D
Student_335,student335@example.com,India,6.35,39.55,60.75,76.78,A
Student_336,student336@example.com,Canada,7.94,50.84,65.86,70.72,A
Student_337,student337@example.com,Germany,3.68,75.99,57.06,76.14,B
Student_338,student338@example.com,UK,1.58,55.59,68.91,96.53,A
Student_339,student339@example.com,India,1.62,68.35,90.82,86.48,D
Student_340,student340@example.com,India,2.74,65.52,68.76,44.88,B
Student_341,student341@example.com,UK,9.56,37.29,76.13,58.34,B
Student_342,student342@example.com,Brazil,5.1,87.89,83.73,69.53,B
Student_343,student343@example.com,Canada,1.14,81.7,65.43,76.8,C
Student_344,student344@example.com,Australia,1.69,64.25,66.66,73.73,D
Student_345,student345@example.com,Australia,8.41,91.89,63.92,93.66,D
Student_346,student346@example.com,Canada,2.84,43.55,99.31,41.44,A
Student_347,student347@example.com,Germany,8.25,39.7,75.04,43.55,B
Student_348,student348@example.com,India,1.12,64.19,91.41,80.77,C
Student_349,student349@example.com,USA,6.09,43.41,65.92,40.02,A
Student_350,student350@example.com,India,3.31,43.96,51.7,95.93,B
Student_351,student351@example.com,Australia,6.44,37.67,90.47,80.57,A
Student_352,student352@example.com,India,1.6,91.12,51.86,49.57,C
Student_353,student353@example.com,USA,1.07,53.99,91.55,93.13,B
Student_354,student354@example.com,USA,9.94,82.05,54.94,54.88,B
Student_355,student355@example.com,Brazil,5.0,84.83,69.51,57.24,A
Student_356,student356@example.com,UK,5.65,98.58,72.2,43.68,C
Student_357,student357@example.com,Germany,8.33,73.67,76.96,40.36,B
Student_358,student358@example.com,UK,2.05,64.6,74.03,84.14,C
Student_359,student359@example.com,Canada,7.6,71.61,76.58,71.56,C
Student_360,student360@example.com,UK,9.77,35.76,55.45,82.58,A
Student_361,student361@example.com,Japan,7.06,99.73,94.71,58.7,C
Student_362,student362@example.com,Japan,9.57,98.33,79.3,44.21,C
Student_363,student363@example.com,Germany,4.36,97.89,78.51,89.93,C
Student_364,student364@example.com,Brazil,3.82,91.34,88.37,51.01,C
Student_365,student365@example.com,Japan,8.83,33.93,71.14,41.86,D
Student_366,student366@example.com,Japan,3.03,40.44,59.24,54.93,B
Student_367,student367@example.com,USA,9.86,36.88,74.16,99.69,C
Student_368,student368@example.com,Australia,1.62,82.64,57.88,78.13,D
Student_369,student369@example.com,Brazil,9.83,60.33,54.22,98.06,A
Student_370,student370@example.com,Germany,5.48,43.61,50.94,56.78,B
Student_371,student371@example.com,Germany,6.07,92.81,65.46,55.5,B
Student_372,student372@example.com,India,2.93,51.69,56.87,66.23,D
Student_373,student373@example.com,Germany,9.58,63.28,87.13,60.01,C
Student_374,student374@example.com,Australia,6.07,80.14,50.84,72.07,A
Student_375,student375@example.com,Japan,6.11,76.64,54.4,96.04,D
Student_376,student376@example.com,Brazil,3.33,75.94,71.53,73.71,D
Student_377,student377@example.com,Canada,2.68,96.76,64.34,71.59,A
Student_378,student378@example.com,USA,5.04,77.44,88.15,75.69,A
Student_379,student379@example.com,USA,5.65,36.74,92.89,95.92,B
Student_380,student380@example.com,Canada,5.38,35.5,84.16,46.81,C
Student_381,student381@example.com,India,1.32,39.12,69.37,80.47,D
Student_382,student382@example.com,Australia,1.6,92.27,75.03,47.04,D
Student_383,student383@example.com,Brazil,3.85,64.46,77.51,44.43,C
Student_384,student384@example.com,Japan,1.59,47.32,75.18,81.14,B
Student_385,student385@example.com,UK,4.65,31.97,87.72,72.83,D
Student_386,student386@example.com,Germany,6.5,54.27,85.88,69.4,A
Student_387,student387@example.com,Australia,3.17,63.59,82.09,43.86,D
Student_388,student388@example.com,Australia,4.78,31.18,80.57,47.35,B
Student_389,student389@example.com,Australia,6.1,78.11,73.21,63.71,B
Student_390,student390@example.com,Canada,1.49,41.41,81.02,54.39,C
Student_391,student391@example.com,UK,4.34,70.95,71.52,96.25,B
Student_392,student392@example.com,Japan,6.29,65.98,83.18,64.48,C
Student_393,student393@example.com,India,1.83,56.67,83.38,57.17,A
Student_394,student394@example.com,USA,7.6,68.7,65.8,79.91,B
Student_395,student395@example.com,Japan,7.32,59.76,59.42,98.39,C
Student_396,student396@example.com,Australia,1.74,78.67,90.27,45.15,C
Student_397,student397@example.com,Brazil,8.32,35.46,98.19,51.88,C
Student_398,student398@example.com,Japan,5.04,42.39,61.41,73.84,C
Student_399,student399@example.com,Germany,5.94,86.15,74.9,63.18,D
Student_400,student400@example.com,UK,2.62,80.57,99.2,70.22,B
Student_401,student401@example.com,India,5.54,55.88,85.8,97.9,B
Student_402,student402@example.com,India,1.06,65.0,62.8,77.53,A
Student_403,student403@example.com,USA,5.62,53.67,89.29,64.86,A
Student_404,student404@example.com,Germany,2.07,43.74,99.79,69.07,D
Student_405,student405@example.com,USA,9.3,54.34,97.0,69.61,B
Student_406,student406@example.com,Brazil,2.4,57.19,94.78,60.33,D
Student_407,student407@example.com,Germany,1.01,94.19,78.02,46.64,C
Student_408,student408@example.com,Brazil,9.81,86.87,92.95,96.03,A
Student_409,student409@example.com,India,3.16,92.06,53.18,82.83,B
Student_410,student410@example.com,Australia,7.46,55.51,82.69,52.56,B
Student_411,student411@example.com,UK,9.39,52.09,52.3,79.59,A
Student_412,student412@example.com,Japan,1.07,63.58,54.14,88.29,A
Student_413,student413@example.com,Japan,3.91,86.79,98.68,70.91,D
